talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,ORR,57%,,Phase I crizotinib trial (n unspecified),ALK-positive NSCLC,,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,PFS median,9 months,,CROWN study crizotinib arm (n unspecified),ALK-positive advanced NSCLC,lorlatinib arm,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,PFS median,6-8 years,,CROWN study lorlatinib arm (n unspecified),ALK-positive advanced NSCLC,crizotinib arm,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,Sensitivity (ALK RNA-Seq assay),100%,,validation cohort (n unspecified),ALK-positive samples,ALK FISH predicate,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,Specificity (ALK RNA-Seq assay),99%,,validation cohort (n unspecified),ALK-negative samples,ALK FISH predicate,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,Positive Predictive Value (ALK RNA-Seq assay),100%,,validation cohort (n unspecified),ALK-positive samples,,primary_endpoint_met
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,John Ifraty,"Pathology Department, Academic Medical Center",a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,ctDNA fusion detection rate,50%,,CROWN study ctDNA subset (n unspecified),ALK-positive NSCLC,,secondary_analysis
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,prostate cancer,unspecified,Prostate cancer death risk,14‑fold increase,,"n=~2,000 men in HPFS with tissue data",men with high telomere variability in cancer cells and short stromal telomeres,,secondary_endpoint
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,prostate cancer,unspecified,Prostate cancer death risk (replication),5‑fold increase,,"n=~1,500 men across multiple cohorts",same telomere biomarker category,,secondary_endpoint
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,prostate cancer,unspecified,Statin use vs metastatic disease,HR ~0.5,,"n=~10,000 men in HPFS",long‑term statin users,non‑users,secondary_endpoint
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,prostate cancer,unspecified,Digoxin use vs lethal disease,HR ~0.6,,"n=~8,000 men in HPFS",long‑term digoxin users,non‑users,secondary_endpoint
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,prostate cancer,unspecified,CMV seropositivity vs intraprostatic inflammation,OR ~1.4,,"n=~1,200 PCPT biopsy samples",CMV‑positive men,CMV‑negative men,exploratory
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,52%,,n=40,KRAS G12D mutant NSCLC,historical docetaxel,primary_endpoint_met
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,median PFS,11 months,,n=40,KRAS G12D mutant NSCLC,,primary_endpoint_met
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ctDNA clearance rate,73%,,n=40,KRAS G12D mutant NSCLC,,exploratory
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,59%,,n not specified,Metastatic KRAS‑mutant pancreatic adenocarcinoma (first‑line combo),,primary_endpoint_met
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,DCR,90%,,n not specified,Metastatic KRAS‑mutant pancreatic adenocarcinoma,,primary_endpoint_met
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,Grade 3+ adverse events,73%,,n not specified,Pancreatic cancer combo cohort,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,32%,,n not specified,KRAS G12C mutant NSCLC after prior G12C inhibitor,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,60%,,n not specified,FBXW7‑mutant ovarian cancer with cyclin E1 amplification,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,54%,,n not specified,HER2‑positive solid tumors (T‑DXd + olaparib sequential),,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,≈50%,,n not specified,Claudin‑6‑expressing ovarian cancer,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ORR,>50%,,n not specified,Folate receptor low‑expressing endometrial/ovarian cancer,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,MRD negativity,100%,,n not specified,High‑risk smoldering multiple myeloma treated with cilta‑cel,,interim
aacr-annual-meeting-2026-highlights::dombrowsk::1,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",aacr-annual-meeting-2026-highlights,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,Objective response rate,100%,,n not specified,High‑risk smoldering multiple myeloma,,interim
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,Saar Gill,University of Pennsylvania,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,multiple myeloma; systemic lupus erythematosus,phase_1,ORR,stringent complete response or very good partial response,,n=4,Multiple myeloma (BCMA in vivo CAR-T),,interim
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,Saar Gill,University of Pennsylvania,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,multiple myeloma; systemic lupus erythematosus,phase_1,DLT_rate,"5/5 patients had grade 3 adverse events (3 grade 3 CRS, 1 grade 2 CRS, 1 grade 1 ICANS)",,n=5,Multiple myeloma (BCMA in vivo CAR-T),,interim
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,Saar Gill,University of Pennsylvania,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,multiple myeloma; systemic lupus erythematosus,phase_1,B-cell aplasia,achieved for 1-2 months,,not specified,SLE patients (mRNA-LNP anti-CD19 CAR),,exploratory
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,Crystal Mackall,Stanford University,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,diffuse midline glioma,phase_1,OS,favorable median overall survival (compared to historical 9-11 months),,n=11 treated,Arm A (IV infusion + ICV infusions),,interim
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,Crystal Mackall,Stanford University,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,diffuse midline glioma,phase_1,Complete Response,ongoing for over 4 years,,n=1,Patient 10 (Arm A),,updated
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,Crystal Mackall,Stanford University,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,diffuse midline glioma,phase_1,Response Duration,rarely longer than 2-3 months,,not specified,"Arm B (ICV only, no lymphodepletion)",,interim
aacr-award-for-lifetime-achievement-in-cancer-research::allison::1,Dr. James P. Allison,"University of Texas MD Anderson Cancer Center, James P. Allison Institute",aacr-award-for-lifetime-achievement-in-cancer-research,melanoma; colorectal cancer; bladder cancer; urothelial carcinoma,mixed,complete response,3/14 patients,,n=14,Phase I melanoma,,interim
aacr-award-for-lifetime-achievement-in-cancer-research::allison::1,Dr. James P. Allison,"University of Texas MD Anderson Cancer Center, James P. Allison Institute",aacr-award-for-lifetime-achievement-in-cancer-research,melanoma; colorectal cancer; bladder cancer; urothelial carcinoma,mixed,10‑year survival rate,20%,,n≈200,melanoma patients treated with ipilimumab,,updated
aacr-award-for-lifetime-achievement-in-cancer-research::allison::1,Dr. James P. Allison,"University of Texas MD Anderson Cancer Center, James P. Allison Institute",aacr-award-for-lifetime-achievement-in-cancer-research,melanoma; colorectal cancer; bladder cancer; urothelial carcinoma,mixed,overall survival at 3 years (combined CTLA‑4 + PD‑1),>50%,,n not specified,melanoma patients in combination trial,,interim
aacr-award-for-lifetime-achievement-in-cancer-research::allison::1,Dr. James P. Allison,"University of Texas MD Anderson Cancer Center, James P. Allison Institute",aacr-award-for-lifetime-achievement-in-cancer-research,melanoma; colorectal cancer; bladder cancer; urothelial carcinoma,mixed,neoadjuvant bladder cancer 3‑year survival,70%,,n not specified,bladder cancer patients receiving neoadjuvant anti‑CTLA‑4,,interim
