nct,speaker,institution,session,status,note
NCT00265550,Steve Soto,USC Norris Center,Spatial Biomarkers at Single-Cell Resolution,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT01578239,Jonathan McConathy,University of Alabama,radiotheranostics-nuts-and-bolts,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT01832870,John Hannon,Netherlands Cancer Institute,innovative-treatment-modalities-shaping-the-future-of-oncology,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT01847274,Mark O'Connor,AstraZeneca,synthetic-lethality-in-oncology-progress-made-pitfalls-encountered-and,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT01864798,Katherine Reeder-Hayes,University of North Carolina Lineberger,does-adherence-to-oral-cancer-therapy-matter,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02032277,Mark O'Connor,AstraZeneca,synthetic-lethality-in-oncology-progress-made-pitfalls-encountered-and,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02128592,Mansi Dalal,U.S. Food and Drug Administration,power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-develo,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02534790,Mansi Dalal,U.S. Food and Drug Administration,power-in-numbers-leveraging-adult-data-in-pediatric-cancer-drug-develo,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02813877,Gudrun Schillenbacher,University of Zurich,pediatric-cancer-from-mechanism-to-translation,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02828618,Bo Zhu,MD Anderson Cancer Center,inflammation-and-immunity-in-cancer-progression,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT02834013,Dr. Anthony Ribas,"University of California, Los Angeles",aacr-margaret-foti-award-for-leadership-and-extraordinary-achievements,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT03011177,Katherine Reeder-Hayes,University of North Carolina Lineberger,does-adherence-to-oral-cancer-therapy-matter,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT03070359,Paul Nathan,IMC (pharma),advanced-cellular-and-immune-based-therapeutics,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT03511664,Jonathan McConathy,University of Alabama,radiotheranostics-nuts-and-bolts,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
