talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
3d-tissue-imaging-and-cancer::unknown::1,3d-tissue-imaging-and-cancer,High-plex 3D microscopy for spatial profiling of tumor microenvironments,unknown,unknown,unknown,melanoma; colorectal cancer; ovarian cancer; lung adenocarcinoma; tuberculosis,unspecified,spatial_biology; tumor_microenvironment; platform_technology; basic_science,platform_technology,"The presenter described cyclic immunofluorescence–based high‑plex 3D microscopy (up to 150 channels) applied to thick (35 µm) FFPE sections and light‑sheet fluorescence imaging, enabling whole‑cell morphology, subcellular organelle localization, and spatial context (e.g., cytotoxic synapse distance, tertiary lymphoid structure architecture) to be captured in three dimensions, which resolves misidentification and provides functional readouts that are impossible in standard 2D sections.","Thick (35‑40 µm) FFPE sections retain ~70 % of cells intact versus <5 % in standard 5 µm sections, dramatically reducing lineage misidentification. | 3D imaging revealed that ~40 % of CD8+ T cells in tumors exhibit LAG‑3 staining only in deeper z‑planes, explaining false‑negative checkpoint marker detection in 2D slides. | Morphological analysis showed average T cells make 5–10 functional contacts with neighbors; synapse distances contract from ~1 µm to ~30 nm during cytolytic engagement. | Serial reconstruction of ~470 tertiary lymphoid structures in lung adenocarcinoma and tuberculosis demonstrated heterogeneous developmental stages within a single follicle, which 2D sections misclassify. | Light‑sheet 3D imaging of a 2 mm‑thick colon specimen captured ~30 million cells, allowing tracing of nerve‑immune interactions and vascular‑associated immune niches.",0,0,0,,,,
3d-tissue-imaging-and-cancer::keman::2,3d-tissue-imaging-and-cancer,AI approaches to quantitative analysis of 3D tissue imaging,Ashley Keman,"Johns Hopkins University, Quantitative Biology",academic_pi,,unspecified,AI_ML; platform_technology; basic_science,platform_technology,"The talk outlined how foundation models, segmentation networks, synthetic‑staining GANs and diffusion models, and optical‑flow based slice interpolation are applied to 2D and 3D histopathology data (H&E, cyclic IF, light‑sheet) to generate cell‑level segmentations, virtual multiplex stains, and fill missing z‑planes, thereby enabling quantitative morphometric and spatial analyses that were previously infeasible.","Foundation models can embed H&E tiles into high‑dimensional vectors that predict patient outcomes and highlight prognostic regions such as venous invasion without additional training. | A GAN‑based pipeline converts quantitative phase images into realistic H&E, allowing existing H&E‑trained models to be applied to label‑free imaging. | Diffusion models successfully synthesize multiplex IHC (e.g., insulin/glucagon) from a single H&E slide, enabling retrospective multi‑omic analysis of archived specimens. | Optical‑flow algorithms reconstruct missing intermediate sections in CODA and Visium datasets, improving continuity for 3D reconstructions and spatial transcriptomics. | AI‑driven nucleus and tissue segmentation using models like Segment‑Anything achieve >90 % concordance with manual annotations across multiple organ systems.",0,0,0,,,,
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::ifraty::1,a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,"Integrating Digital Pathology, AI, and Molecular Diagnostics for Biomarker Development",John Ifraty,"Pathology Department, Academic Medical Center",academic_pi,non-small cell lung cancer; colorectal cancer; soft tissue sarcoma; pan-cancer,unspecified,immunotherapy; tumor_microenvironment; spatial_biology; biomarker_development; translational; platform_technology; basic_science; AI_ML,platform_technology,"John Ifraty reviewed how AI image embeddings derived from H&E slides can capture morphologic correlates of actionable mutations (e.g., ALK fusions, MSI, EGFR) and discussed the need for clinical‑grade performance (high sensitivity, specificity, PPV). He highlighted that current AI models achieve AUROC ~0.9 for MSI but only ~0.6‑0.7 for most other mutations, emphasizing confounders, sample quality, and rare tumor entities as major barriers. He also described emerging multimodal and spatial platforms that combine H&E, multiplex immunofluorescence, and spatial transcriptomics to generate richer biomarkers, while noting throughput and reproducibility challenges.","Clinical ALK FISH assay demonstrated 100% sensitivity, 99% specificity, and 100% PPV in validation against RNA‑Seq, setting a high bar for AI‑based predictors. | AI model trained on public colorectal cancer slides achieved AUROC ~0.9 for MSI prediction, the highest performance among mutation‑prediction tasks. | Predictive performance for EGFR, KRAS, PIK3CA, and other mutations ranged from AUROC 0.5‑0.7, indicating limited clinical utility at present. | Foundation models fine‑tuned on institution‑specific data (e.g., Campanella et al.) can raise EGFR prediction AUROC to ~0.9 and enable triage of lung cancer cases for rapid molecular testing. | ctDNA assay (Guardant360) identified ALK fusions in only ~50% of cases, illustrating that sub‑optimal sensitivity can still be useful for longitudinal monitoring. | Spatial multiplex IF and transcriptomics platforms (e.g., Singular Genomics 18‑plex IF + 500‑plex RNA) now achieve 10 samples per slide throughput, moving toward clinical feasibility.",7,7,0,ORR,57%,Phase I crizotinib trial (n unspecified),ALK-positive NSCLC
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::platz::1,aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,"Integrating Epidemiology and Basic Science to Elucidate Prostate Cancer Inflammation, Telomere Biomarkers, Statin and Digoxin Repurposing",Elizabeth A. Platz,"Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology; Joint appointments in Oncology and Urology, Johns Hopkins University School of Medicine",academic_pi,prostate cancer,unspecified,clinical_trial; translational; basic_science; biomarker_development; other,clinical_validation_of_known,"Platz integrates population‑based epidemiology with pathology and molecular assays to show that intraprostatic inflammation, driven in part by infections such as CMV, increases prostate cancer risk; telomere length variability in cancer cells combined with short stromal telomeres predicts lethal disease; and long‑term use of statins or digoxin is inversely associated with aggressive prostate cancer, suggesting drug‑repurposing opportunities.","Intraprostatic inflammation measured in unbiased end‑of‑study biopsies is prospectively associated with increased prostate cancer risk (dose‑response with percent inflamed area). | CMV seropositivity is positively associated with greater intraprostatic inflammation in the PCPT cohort. | High variability of telomere length among cancer cells together with short stromal telomeres confers a 14‑fold higher risk of prostate cancer death, replicated at ~5‑fold in independent cohorts. | Long‑term statin use is linked to a ~50% reduction in metastatic prostate cancer and death, independent of cholesterol levels. | Long‑term digoxin use shows a similar inverse association with both organ‑confined and lethal prostate cancer. | Lower stromal telomere length correlates with reduced lamin B1 expression, supporting a senescent fibroblast hypothesis.",3,5,0,Prostate cancer death risk,14‑fold increase,"n=~2,000 men in HPFS with tissue data",men with high telomere variability in cancer cells and short stromal telomeres
aacr-annual-meeting-2026-highlights::dombrowsk::1,aacr-annual-meeting-2026-highlights,Highlights of Recent Clinical Trials in Precision Oncology and Emerging Therapies,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",academic_pi,non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,clinical_trial; targeted_therapy; ADC; CAR_T; immunotherapy; biomarker_development; ctDNA; combination_therapy; precision_therapy; translational,first_in_class,"KRAS G12D covalent inhibitor zoldonrasib forms a tricomplex that blocks RAS‑RAF signaling, achieving high ORR and ctDNA clearance in NSCLC. Pan‑RAS PROTAC deraxone rasib degrades mutant and wild‑type RAS, synergizing with gemcitabine/nab‑paclitaxel in pancreatic cancer. VE‑1 and PKMYT inhibitors arrest G2/M by targeting CDK1, showing activity in FBXW7‑mutant ovarian cancer with cyclin E1 amplification. ADCs (T‑DXd, CLDN6‑ADC, ZW91) deliver topoisomerase or DNA‑damaging payloads, enhanced by sequential PARP inhibition. CAR‑T (cilta‑cel) provides durable MRD‑negative remissions in smoldering myeloma. Emerging targets (CCR8, mesothelin) showed limited efficacy, highlighting resistance mechanisms.","Zoldonrasib achieved a 52% ORR and median PFS of 11 months in KRAS G12D mutant NSCLC (n=40) with only minimal grade 3 toxicities. | Deraxone rasib combined with gemcitabine/nab‑paclitaxel yielded a 59% ORR and 90% disease control in first‑line metastatic KRAS‑mutant pancreatic cancer, albeit with 73% grade 3+ adverse events. | Elacestrant produced a 32% partial response rate in KRAS G12C NSCLC patients who had progressed on prior G12C inhibitors. | VE‑1 plus PKMYT inhibition resulted in a 60% ORR in FBXW7‑mutant ovarian cancer harboring cyclin E1 amplification, demonstrating target‑driven efficacy. | Sequential combination of trastuzumab deruxtecan with olaparib achieved a 54% overall response rate, supporting schedule‑optimized ADC‑PARP synergy. | Claudin‑6 and folate receptor ADCs each generated >50% response rates across multiple tumor types, even in low‑expressing cohorts. | Cilta‑cel induced 100% MRD negativity and objective responses in high‑risk smoldering myeloma with no grade 3+ CRS, indicating curative potential in pre‑malignancy.",12,13,3,ORR,52%,n=40,KRAS G12D mutant NSCLC
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,In Vivo CAR T Cell Platforms and Paradigms,Saar Gill,University of Pennsylvania,academic_pi,multiple myeloma; systemic lupus erythematosus,phase_1,CAR_T; gene_therapy; translational; combination_therapy,platform_technology,"The speaker proposes shifting from ex vivo CAR-T manufacturing to in vivo generation using targeted viral-like particles (VLPs) or lipid nanoparticles (LNPs). By blinding the VSV glycoprotein and adding targeting ligands (e.g., anti-CD7 or anti-TCR), the system selectively transduces T cells in vivo, bypassing the need for lymphodepleting chemotherapy and complex GMP facilities.","In vivo BCMA CAR-T generation via TCR-targeted VLPs led to stringent complete or very good partial responses in 4 out of 5 multiple myeloma patients. | In vivo BCMA CAR-T therapy showed a bimodal toxicity profile: an initial infusion reaction followed by traditional cytokine release syndrome (CRS). | mRNA-LNP delivery of anti-CD19 CARs achieved transient B-cell aplasia and reduction in SLEDAI scores in refractory SLE patients. | Preclinical NHP data showed persistent B-cell aplasia following CD7-targeted VLP delivery of CAR20, though anti-CAR antibodies developed in 7-14 days. | Calculations suggest that only 0.05% to 2% transduction efficiency of total body T cells is required to reach the therapeutic dose of ~200 million CAR-positive cells.",3,3,0,ORR,stringent complete response or very good partial response,n=4,Multiple myeloma (BCMA in vivo CAR-T)
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,CAR T Cells for Pediatric Brain Tumors,Crystal Mackall,Stanford University,academic_pi,diffuse midline glioma,phase_1,CAR_T; tumor_microenvironment; resistance_mechanisms; clinical_trial,clinical_validation_of_known,"The study evaluates GD2-targeted CAR T cells for H3-mutant diffuse midline gliomas. The research demonstrates that lymphodepletion is critical for CAR T persistence; without it, patients develop robust anti-CAR antibody and T-cell responses (including IgA in the CNS) that reject the therapy. Re-introducing lymphodepletion every four cycles (Arm C) restored durable responses.","Intracerebroventricular (ICV) delivery is 10-fold more potent than IV delivery in preclinical models. | Arm A (IV + ICV + lymphodepletion) showed significant tumor shrinkage and improved OS, but high-grade CRS occurred after IV infusion. | Arm B (ICV only, no lymphodepletion) resulted in transient responses (<3 months) due to rapid immune rejection of CAR T cells. | Anti-CAR responses include CD4+ (IL-2, IFN-gamma) and CD8+ (degranulating, 4-1BB+) T cells, as well as IgA antibodies produced by B cells within the CNS. | Arm C (ICV + lymphodepletion every 4 cycles) resulted in durable responses with median OS not reached and a plateau of >50% survival.",1,3,1,OS,favorable median overall survival (compared to historical 9-11 months),n=11 treated,Arm A (IV infusion + ICV infusions)
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::darcy::3,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,Precision Targeted Engineering of CAR T Cells,Phil Darcy,Peter MacCallum Cancer Centre,academic_pi,ovarian cancer; breast cancer; colorectal cancer,preclinical,CAR_T; CRISPR; targeted_therapy; tumor_microenvironment,platform_technology,"The speaker describes a CRISPR HDR knock-in strategy to create 'armored' CAR T cells that secrete pro-inflammatory cytokines (IL-12, IL-2) under the control of endogenous tumor-specific promoters (NR4A2, RGS16). This approach ensures that potent cytokines are expressed only at the tumor site, reducing systemic toxicity compared to NFAT-inducible promoters while enhancing T cell polyfunctionality and host anti-tumor immunity.","NR4A2 is highly tumor-restricted and safe for driving high-toxicity transgenes like IL-12, whereas RGS16 is more potent but less restricted. | IL-12 driven by NR4A2 showed potent anti-tumor effects without the systemic weight loss seen with RGS16 or PD-1 promoters. | IL-2 driven by the RGS16 promoter showed the strongest anti-tumor effect and was well-tolerated. | A 'next-generation' knock-in strategy using a P2A linker to preserve endogenous RGS16 expression significantly reduced peripheral GFP expression while maintaining high tumor expression. | The one-step CRISPR knock-in of both the armoring gene and the CAR into the TRAC locus increased CAR expression without reducing transgene output.",4,0,0,,,,
aacr-award-for-lifetime-achievement-in-cancer-research::allison::1,aacr-award-for-lifetime-achievement-in-cancer-research,Mechanistic insights into CTLA-4 blockade and novel immune structures,Dr. James P. Allison,"University of Texas MD Anderson Cancer Center, James P. Allison Institute",academic_pi,melanoma; colorectal cancer; bladder cancer; urothelial carcinoma,mixed,immunotherapy; tumor_microenvironment; combination_therapy; translational; basic_science,clinical_validation_of_known,"Blocking CTLA‑4 removes its high‑affinity competition with CD28 for B7 ligands, restoring costimulatory signaling during T‑cell priming. This generates a unique ICOS‑high CD4 effector subset that collaborates with ICOS‑ligand‑expressing dendritic cells to form spatial 'tetrads', which remodel the myeloid compartment and prime stem‑like TCF7+ CD8 T cells with high granzyme expression. The resulting effector‑only immune infiltrate underlies durable tumor regressions and distinguishes CTLA‑4 blockade from PD‑1 inhibition.","Anti‑CTLA‑4 treatment expands ICOS‑positive CD4 T cells; absence of these cells predicts lack of response. | CTLA‑4 blockade induces novel spatial 'tetrad' structures (CD4 ICOS+, CD8, dendritic cell) that are enriched in responders and absent with PD‑1 blockade. | In CTLA‑4 knockout mice, CD4 cells co‑express multiple lineage transcription factors (BCL6, GATA3, RORγC), indicating deregulated differentiation. | Adding ICOS‑ligand to a tumor vaccine converts a non‑curative anti‑CTLA‑4 regimen into 100% tumor eradication in a resistant B16 model. | Combination of anti‑CTLA‑4 with anti‑PD‑1 shifts the exhausted CD8 population to a stem‑like TCF7+ phenotype and improves survival (>50% at 3 years in melanoma). | Long‑term follow‑up of ipilimumab trials shows ~20% of melanoma patients achieve 10‑year survival, whereas median pre‑trial survival was 6–7 months.",2,4,2,complete response,3/14 patients,n=14,Phase I melanoma
aacr-award-for-outstanding-achievement-in-basic-cancer-research::he::1,aacr-award-for-outstanding-achievement-in-basic-cancer-research,Circular RNAs in cancer: functional landscape and therapeutic potential,Dr. He,"Princess Margaret Cancer Center, Department of Medical Biophysics, University of Toronto",academic_pi,prostate cancer; small cell lung cancer; neuroendocrine prostate cancer,preclinical,cancer_vaccines; epigenetics; immunotherapy; basic_science; translational,platform_technology,"Circular RMST (circRMST) is highly expressed in neuroendocrine prostate and small‑cell lung cancers, where it binds transcription factors NKX2.1 and SOX2, stabilizing NKX2.1 protein by blocking Hsp70‑mediated lysosomal degradation. Loss of circRMST reduces NKX2.1 half‑life, down‑regulates ASL1, and blocks lineage transdifferentiation and tumor growth in mouse models. The covalently closed structure also confers exceptional stability in plasma, enabling biomarker and vaccine applications.","Identified ~80,000 circRNAs in 200 prostate cancers; average 7,000 per tumor; up to 400,000 circRNAs cataloged genome‑wide. | Functional screen of 10,000 circRNAs across seven cancer types revealed ~1,300 essential circRNAs, >90% previously uncharacterized and >95% act independently of linear host gene. | circRMST is >100‑fold enriched in neuroendocrine prostate cancer and small‑cell lung cancer versus adenocarcinoma, and is the dominant transcript from its locus. | CRISPR deletion of intronic MIR repeats reduces circRMST expression to ~30% and impairs tumor cell viability in vitro and xenograft growth in vivo. | circRMST knockdown shortens NKX2.1 protein half‑life from 17 h to ~5 h via loss of Hsp70‑binding site protection, leading to loss of ASL1 expression and blockade of neuroendocrine transdifferentiation. | circRMST is detectable in patient plasma with a >1,000‑fold higher circular/linear ratio than in tumor tissue, suggesting a liquid‑biopsy biomarker. | Circular RNA translation can generate novel peptides; immunopeptidomics identified 80 circRNA‑derived peptides, including 12 from reverse‑strand translation, providing new vaccine antigens.",1,0,0,,,,
