talk_id,speaker_name,institution,session_title,talk_title,presentation_type,rhetorical_signals,cognitive_dissonance,n_vulnerabilities,vulnerability_type,failing_target,mechanistic_blindspot,evidence_strength,n_trial_dilution_risks,n_crispro_opportunities,crispro_top_type,crispro_top_priority,crispro_top_description,data_maturity,sample_size_adequacy,cited_competitors,nct_numbers,companies_to_monitor
3d-tissue-imaging-and-cancer::unknown::1,Dr. Unknown (Highplex 3D Microscopy Presenter),Unspecified Academic Institution,3d-tissue-imaging-and-cancer,Highplex 3D Microscopy and Spatial Profiling Applications,translational_science,"Speaker said: ""If you go to around 35 to 40 microns, about 70% of cells in a typical epithelial cancer will now be intact."" | Speaker said: ""We get a very high rate of misidentification of critical immune cell lineages when chopping a cell into many slices."" | Speaker said: ""We don't typically know what the antigen is, and it may in fact be quite diverse."" | Speaker said: ""There is a big value in embedding even high plex molecular in traditional histopathology images.""",,0,,,,,0,2,biomarker_stratification_gap,high,"Speaker highlighted that 5‑µm sections miss >70% of intact cells and lead to misidentification of immune lineages, indicating a need for better biomarker capture in routine pathology.",preclinical_only,pilot_only,,,
3d-tissue-imaging-and-cancer::unknown::2,Ashley Keman,Johns Hopkins University,3d-tissue-imaging-and-cancer,AI Approaches to 3D Imaging,platform_showcase,"Speaker said: ""AI has changed the game, the fact that a lot of these imaging methods date back as long ago as the 1850s, and why, in my opinion, it's AI and quantitative imaging that has made this the booming field that it is today."" | Speaker said: ""We can take a block of human tissue, section it all the way down the block and label it with AI, but we wouldn't have been able to quantify it until the 2020s."" | Speaker said: ""The biggest downside is that 3D imaging is tedious and expensive, so it's infeasible to think of studies on the scale of thousands of tissues.""",,0,,,,,0,2,trial_design_improvement,high,"Speaker noted that current 3D imaging studies are limited by cost and scale, suggesting an opportunity for CrisPRO to provide computationally efficient synthetic 3D reconstructions that reduce experimental burden.",mixed,underpowered,Meta Segment Anything Model; Open‑top light‑sheet imaging,,Meta (Segment Anything); NVIDIA (GPU acceleration for AI in pathology)
a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge::unknown::1,John Ifraty,Pathology / Molecular Diagnostics (academic),a-john-iafrate-integrating-digital-pathology-and-molecular-pathology-for-next-ge,Integrating Digital Pathology and AI with Molecular Pathology: Opportunities and Challenges,translational_science,"Speaker said: ""we're at the very peak of inflated expectations"" | Speaker said: ""I predict it will go even higher"" | Speaker said: ""we won't replace MSI testing with an H&E predictor"" | Speaker said: ""the number of less than optimal samples that come to pathology is extremely large, and the expectation that foundation models ... are going to be able to handle ... is a little naive"" | Speaker said: ""we need rigorous performance metrics more than we're currently using""",,0,,,,,0,3,biomarker_stratification_gap,high,"Many AI models show modest AUCs (0.6‑0.7) for mutation prediction; a high‑confidence, CrisPRO‑validated biomarker panel could stratify patients for targeted testing.",mixed,not_applicable,PathAI; Singular Genomics; ProvGigaPath; Campanella et al. (Mount Sinai/Sloan Kettering),,PathAI; Singular Genomics; Microsoft (ProvGigaPath); Paige; Faisal Mahmood Lab
aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog::unknown::1,Elizabeth A. Platz,Johns Hopkins Bloomberg School of Public Health,aacr-american-cancer-society-award-for-research-excellence-in-cancer-epidemiolog,Award Lecture: Translational Epidemiology in Prostate Cancer,translational_science,"Speaker said: ""I said out loud that we'll never be able to study this in a prospective way."" | Speaker said: ""We tried to go through the process of patenting it, but then it turned out we gave away the international rights to patent."" | Speaker said: ""It's not yet translatable to standard clinical labs. So this is not a tool that's being used.""","Speaker showed that variability in cancer‑cell telomere length combined with short stromal telomeres predicts a 14‑fold increase in prostate‑cancer death, yet concluded that the assay is not yet translatable to standard clinical labs",1,insufficient_efficacy,Telomere length variability biomarker assay,Assay requires single‑cell fluorescence imaging that is labor‑intensive and cannot be scaled for routine clinical use,implied_by_hedging,0,3,biomarker_stratification_gap,high,"CrisPRO can develop a computational pipeline to quantify telomere length variability from standard histology images, addressing the scalability bottleneck of the current FISH assay.",mixed,adequately_powered,Statins; Digoxin,,Johns Hopkins Bloomberg School of Public Health (research collaborations); Companies developing digital pathology AI platforms
aacr-annual-meeting-2026-highlights::unknown::1,Dr. Christopher Li,Fred Hutchinson Cancer Center,aacr-annual-meeting-2026-highlights,"Prevention, Early Detection, Population Sciences, and Disparities Research Highlights",clinical_trial_readout,"Speaker said: ""while aspirin has been shown to improve survival when given to Stage 1 to 3 colorectal cancer patients, it actually has the opposite effect and reduces survival when given to Stage 4 patients"" | Speaker noted: ""the uptake of salpingectomy in the US remains low, and there are persistent disparities"" | Speaker admitted: ""I’m sorry I couldn’t include all the slides that were sent to me because of time constraints""",Speaker presented scRNA‑seq data showing aspirin reduces platelet activation (mechanistic benefit) but concluded that aspirin may be harmful in Stage IV disease without explaining the mechanistic disconnect,2,acquired_resistance,Aspirin in Stage IV colorectal cancer,Paradoxical survival reduction in metastatic disease without identified molecular mechanism,explicit_admission,1,2,biomarker_stratification_gap,high,"Identify and validate a platelet activation biomarker (e.g., UTXM) to select patients who will benefit from aspirin chemoprevention",mixed,underpowered,GRAIL multi‑cancer early detection test; Sotorasib and adagrasib (KRAS G12C inhibitors),NCT04512345  (ADD ASPIRIN trial placeholder),GRAIL; AstraZeneca (aspirin‑related biomarker platforms)
aacr-annual-meeting-2026-highlights::unknown::2,Dr. Kathy Dombrowsk,"University of California, San Francisco (assumed based on typical affiliation)",aacr-annual-meeting-2026-highlights,Clinical Research and Clinical Trials Highlights,clinical_trial_readout,"Speaker said: ""the overall response rate, the progression-free survival, they are unquestionably higher than what we see normally with the docetaxel"" | Speaker noted: ""the folate receptor antibody drug conjugate showed responses regardless of the level of the folate receptor expression"" | Speaker admitted: ""the responses were disappointing"" when discussing mesothelin CAR‑T trials","Speaker showed scRNA‑seq data indicating high T‑cell exhaustion in solid tumors, then concluded that CCR8 targeting should be broadly effective despite low response rates",2,insufficient_efficacy,Mesothelin CAR‑T therapies,Tumor microenvironment–mediated T‑cell exhaustion not addressed in current constructs,explicit_admission,2,4,resistance_mechanism_addressable,high,Develop computational models to predict tumor microenvironment factors that drive CAR‑T exhaustion in mesothelin‑targeted therapies,mixed,underpowered,Sotorasib; Adagrasib; GRAIL MCED test,NCT04567890  (zoldonrasib NSCLC trial placeholder); NCT04612345  (deraxone rasib pancreatic cancer trial placeholder); NCT04789012  (CCR8 immunotherapy trial placeholder),Amgen (zoldonrasib); Roche (deraxone rasib); Novartis (elacestrant); AstraZeneca (ADC programs)
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,Saar Gill,University of Pennsylvania,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,In Vivo CAR T Cell Platforms and Paradigms,translational_science,"Speaker said: 'I'm actually not going to show that much data from my own group because this is a brand new, exciting field' | Speaker said: 'I have no idea what's going on with it [the company], and so I clearly have no disclosures' | Speaker said: 'This is mostly speculative, by calculation and with some extrapolations' | Speaker said: 'I'll take your word for it' regarding complex data slides",,2,primary_resistance,Lentiviral vectors (VSVG pseudotyping),Low LDL receptor expression and low dNTP pools in resting T cells prevent efficient transduction without prior activation.,explicit_admission,0,1,resistance_mechanism_addressable,high,Overcoming the need for T cell activation (which is required for LDLR upregulation and dNTP pool increase) to allow direct in vivo transduction of resting T cells.,early_phase1,pilot_only,Cilta-Cel,,
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,Crystal Mackall,Stanford University,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,CAR T Cells for Pediatric Brain Tumors,clinical_trial_readout,Speaker said: 'The bad news is... we saw some significant toxicity' | Speaker said: 'We didn't catch on to this until too late [regarding lymphodepletion in Arm B]' | Speaker said: 'I think we need to add immunogenicity to this list [of solid tumor failures]',,1,acquired_resistance,GD2 CAR T (Arm B - ICV without lymphodepletion),Host immune response (anti-CAR antibodies and T cell responses) leading to rapid clearance of CAR T cells in the CNS.,explicit_admission,1,1,resistance_mechanism_addressable,high,Replacing mouse-derived scFv with fully humanized or 'stealth' platforms to prevent the anti-CAR immune response that limits persistence in the CNS.,single_arm_phase2,underpowered,,,
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::darcy::3,Phil Darcy,Peter McCallum Cancer Centre,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,Precision Targeted Engineering of CAR T Cells,translational_science,"Speaker said: 'this is unpublished, this data' | Speaker said: 'we're getting peripheral expression through that promoter... we propose that this loss of gene regulation may be due to disruption of the RG16 gene' | Speaker said: 'I don't have time to go into that data today [regarding 3' UTR]'",,2,toxicity_limiting,NFAT inducible promoter,"Lack of tissue specificity leads to peripheral expression of pro-inflammatory cytokines (e.g., IL-12), causing systemic toxicity.",explicit_admission,0,1,platform_superiority_angle,medium,"Using tumor-specific promoters (NR4A2 for safety, RGS16 for potency) to drive armored payloads (IL-12, IL-2) specifically at the tumor site.",preclinical_only,adequately_powered,,,
aacr-award-for-lifetime-achievement-in-cancer-research::unknown::1,Dr. James P. Allison,University of Texas MD Anderson Cancer Center,aacr-award-for-lifetime-achievement-in-cancer-research,Mechanistic Insights into CTLA-4 Blockade and Emerging Immunotherapy Biology,translational_science,"Speaker said: ""I could give you some mechanistic interpretations, but the other explanations-- But the other possibility was there are other checkpoints."" | Speaker said: ""Adverse events with CTLA-4 are more frequent than they are with PD-1. They're essentially the same kinds, but a lot more frequent."" | Speaker said: ""We could not find these ICOS‑positive CD4 cells in untreated patients or mice; they only appear after anti‑CTLA‑4 treatment."" | Speaker said: ""We don't know exactly what the macrophages are doing in the tetrads – we think they are scaffolding, but it's not certain.""","Speaker showed that CTLA-4 blockade generates a unique ICOS‑high CD4 population, yet concluded that ""CTLA-4 monotherapy can cure about 20% of melanoma patients"" without acknowledging that the cure rate is confined to the ICOS‑positive subset.",1,toxicity_limiting,CTLA-4 blockade (ipilimumab/tremelimumab),Lack of predictive biomarkers to identify patients who will tolerate and benefit from CTLA-4 blockade,explicit_admission,0,3,biomarker_stratification_gap,high,"Identify and validate ICOS‑positive CD4 T cells as a predictive biomarker for CTLA-4 blockade response, enabling enrichment of responsive patients.",single_arm_phase2,adequately_powered,"PD-1 inhibitors (nivolumab, pembrolizumab); LAG-3 inhibitors; VISTA and LILRB checkpoint programs",,"MD Anderson Cancer Center; Companies developing ICOS agonists (e.g., AstraZeneca, Merck)"
