session_title,slug,session_id,begins_at,ends_at,place,vimeo_event_id,vimeo_video_id,caption_label,vtt_chars,text_chars,status,crawled_at
Opening Ceremony,opening-ceremony,,2026-04-19T07:45:00-07:00,2026-04-19T09:30:00-07:00,Hall H,5868812,1183236596,English (auto-generated),147520,86334,ok,2026-06-11T04:42:26.351283Z
"Academic Entrepreneurship: Getting Your Discovery to Patients, Part 1— Liftoff",academic-entrepreneurship-getting-your-discovery-to-patients-part-1-liftoff,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 11,5841925,1179384746,English (auto-generated),144932,81796,ok,2026-06-11T04:42:33.042558Z
Advances in Pre-Metastatic Niche Biology: From Pre-Clinical Insights to Clinical Opportunities,advances-in-pre-metastatic-niche-biology-from-pre-clinical-insights-to-clinical-,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 20 AB,5841786,1179383818,English (auto-generated),132503,75642,ok,2026-06-11T04:42:40.549690Z
AI Revolution in Cancer Research,ai-revolution-in-cancer-research,,2026-04-20T08:00:00-07:00,2026-04-20T10:00:00-07:00,Hall H,5841871,1179383963,English (auto-generated),157109,93300,ok,2026-06-11T04:42:48.384103Z
CART Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 6 CF,5841837,1179383894,English (auto-generated),135980,80955,ok,2026-06-11T04:42:54.617961Z
Chemistry to the Clinic Part 1 of 4: The Next Generation of Conjugates. Innovative Chemistry and Beyond—Cytotoxic Payloads in Cancer Therapy,chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 20 CD,5841799,1179383836,English (auto-generated),134133,76514,ok,2026-06-11T04:43:01.447921Z
Dose Optimization in Early-Phase Oncology Trials: Implementing the Vision of FDA’s Project Optimus,dose-optimization-in-early-phase-oncology-trials-implementing-the-vision-of-fdas,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 29,5841950,1179384956,English (auto-generated),120338,71577,ok,2026-06-11T04:43:06.416864Z
Early-Onset Cancers,early-onset-cancers,,2026-04-21T08:00:00-07:00,2026-04-21T10:00:00-07:00,Hall H,5841877,1179383975,English (auto-generated),176398,105785,ok,2026-06-11T04:43:11.162350Z
From Bench to Buzz: Making Your Research Resonate for More Funding and Attention,from-bench-to-buzz-making-your-research-resonate-for-more-funding-and-attention,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 5,5841897,1179384472,English (auto-generated),144034,80117,ok,2026-06-11T04:43:16.501428Z
Improving Cancer Outcomes by Shaping the Tumor Macroenvironment,improving-cancer-outcomes-by-shaping-the-tumor-macroenvironment,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 6 B,5841830,1179383881,English (auto-generated),124054,69882,ok,2026-06-11T04:43:21.468148Z
