session,speaker_name,affiliation,tumor_types,clinical_stage,trial_name,trial_features,source,nct_verified
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ZOLDONRASIB‑NSCLC Phase 2,"KRAS G12D mutant NSCLC, prior chemo/IO, n=40",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,DERAXONE RASIB PAN‑RAS PANCREATIC Phase 1/2,"Metastatic KRAS‑mutant pancreatic adenocarcinoma, gemcitabine + nab‑paclitaxel, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ELACESTRANT G12C NSCLC Expansion,"KRAS G12C mutant NSCLC after prior G12C inhibitor, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,VE‑1 + PKMYT OVARIAN Study,"FBXW7‑mutant / cyclin E1‑amplified ovarian cancer, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,T‑DXd + Olaparib Combination,"HER2‑positive solid tumors, sequential dosing, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,CLDN6‑ADC OVARIAN Trial,"Claudin‑6 expressing ovarian cancer, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,ZW91 Folate Receptor ADC Trial,"Folate receptor low‑expressing endometrial/ovarian cancer, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-annual-meeting-2026-highlights,Dr. Kathy Dombrowsk,"University of California, San Francisco, Department of Oncology",non-small cell lung cancer; pancreatic ductal adenocarcinoma; colorectal cancer; ovarian cancer; breast cancer; multiple myeloma; solid tumors,mixed,CILTA‑CEL SMOLDERING MYELOMA,"High‑risk smoldering multiple myeloma, n not specified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,Crystal Mackall,Stanford University,diffuse midline glioma,phase_1,"Arm A, B, and C trials",Pediatric patients with H3-mutant diffuse midline glioma,schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-award-for-outstanding-achievement-in-blood-cancer-research,Dr. John F. DiPersio,"Washington University School of Medicine, St. Louis, Director of the Section of Cellular Therapy and the Center for Gene and Cellular Immunotherapy",T-cell acute lymphoblastic leukemia; peripheral T-cell lymphoma; acute myeloid leukemia,phase_1,UCART7 Phase I study (Blood 2025),"Patients with relapsed/refractory T‑cell ALL, CD7‑high disease",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,Phase I/II pembrolizumab MRD trial (2019‑2023),"R0 resection, MMR‑deficient solid tumors, ctDNA‑positive vs ctDNA‑negative cohorts",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,Neoadjuvant PD‑1 blockade in locally advanced mismatch‑repair deficient rectal cancer,"49 patients, MMR‑deficient rectal adenocarcinoma, 6 months pembrolizumab",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-st-baldricks-foundation-award-for-outstanding-achievement-in-pediatric-canc,Dr. Kimberly Stegmaier,"Department of Pediatric Oncology, Dana-Farber Cancer Institute",acute lymphoblastic leukemia; Ewing sarcoma; neuroblastoma; pediatric solid tumors; brain tumors,mixed,LEAP (Leukemia Precision Therapy Consortium),genomics‑matched targeted therapy for pediatric leukemia,schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
aacr-waun-ki-hong-award-for-outstanding-achievement-in-translational-and-clinica,Eli Van Allen,"Dana-Farber Cancer Institute, Division of Population Sciences; Harvard Medical School",prostate cancer; kidney cancer; melanoma; bladder cancer; breast cancer; pediatric solid tumors,mixed,Checkpoint 025,"Renal cell carcinoma patients progressing on VEGF-TKI, randomized to nivolumab vs everolimus; PBRM1 status assessed",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo,Christian Henrichs,"Professor of Medicine, Rutgers Cancer Institute",HPV-associated cancers,phase_1,early‑phase cell‑therapy study,"HPV‑positive solid tumors, n=unspecified",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
addressing-cancer-mortality-in-areas-of-persistent-poverty,David Wetter,"University of Utah, Huntsman Cancer Institute",,phase_2,PCORI pragmatic tobacco cessation trial,"population of 140,000 patients across 14 FQHC systems in Utah",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
addressing-cancer-mortality-in-areas-of-persistent-poverty,David Wetter,"University of Utah, Huntsman Cancer Institute",,phase_2,COVID rapid-cycle messaging trial,"107,000 enrolled of 160,000 eligible patients",schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
addressing-cancer-mortality-in-areas-of-persistent-poverty,Rula Tamimi,"Weill Cornell Medicine, New York City",colorectal cancer,phase_2,Cares For You middle‑school cancer education program,288 students across 4 NYC middle schools,schema_a_models_field,NO - requires manual lookup at clinicaltrials.gov
